Parameters: 413588 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 2.3818	 mIOU(val) = 0.0952	 best_mIOU_val(val) = 0.0952	 best_mIOU_per_class(val) = [[np.float64(0.014715495151285894), np.float64(0.019109557795045223), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6185790196145735), np.float64(0.0), np.float64(0.39454647191605574), np.float64(0.0), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.1752	 lr= 0.001000 
Epoch No.: 109	Train Loss = 1.3742	 mIOU(val) = 0.2930	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 110	Train Loss = 1.3746	 mIOU(val) = 0.4041	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 111	Train Loss = 1.3692	 mIOU(val) = 0.3981	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 112	Train Loss = 1.3728	 mIOU(val) = 0.4037	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 113	Train Loss = 1.3720	 mIOU(val) = 0.3964	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 114	Train Loss = 1.3720	 mIOU(val) = 0.3589	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 115	Train Loss = 1.3731	 mIOU(val) = 0.3996	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 116	Train Loss = 1.3736	 mIOU(val) = 0.2557	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 117	Train Loss = 1.3752	 mIOU(val) = 0.4014	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 118	Train Loss = 1.3758	 mIOU(val) = 0.4011	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 119	Train Loss = 1.3696	 mIOU(val) = 0.4071	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000400 

Epoch No.: 120	Train Loss = 1.3715	 mIOU(val) = 0.3957	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 121	Train Loss = 1.3726	 mIOU(val) = 0.4004	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 122	Train Loss = 1.3706	 mIOU(val) = 0.4004	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 123	Train Loss = 1.3730	 mIOU(val) = 0.4034	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 124	Train Loss = 1.3726	 mIOU(val) = 0.3889	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 125	Train Loss = 1.3727	 mIOU(val) = 0.4021	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 126	Train Loss = 1.3711	 mIOU(val) = 0.3867	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 127	Train Loss = 1.3726	 mIOU(val) = 0.3842	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 128	Train Loss = 1.3660	 mIOU(val) = 0.3908	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 129	Train Loss = 1.3726	 mIOU(val) = 0.4007	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000368 

Epoch No.: 130	Train Loss = 1.3657	 mIOU(val) = 0.3999	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.5018	 lr= 0.000338 

Epoch No.: 131	Train Loss = 1.3688	 mIOU(val) = 0.4110	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 132	Train Loss = 1.3669	 mIOU(val) = 0.4027	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 133	Train Loss = 1.3653	 mIOU(val) = 0.4104	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 134	Train Loss = 1.3681	 mIOU(val) = 0.4012	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 135	Train Loss = 1.3649	 mIOU(val) = 0.3921	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 136	Train Loss = 1.3616	 mIOU(val) = 0.4047	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 137	Train Loss = 1.3610	 mIOU(val) = 0.4054	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 138	Train Loss = 1.3621	 mIOU(val) = 0.4046	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 139	Train Loss = 1.3589	 mIOU(val) = 0.3995	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000338 

Epoch No.: 140	Train Loss = 1.3572	 mIOU(val) = 0.4083	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 141	Train Loss = 1.3574	 mIOU(val) = 0.4034	 best_mIOU_val(val) = 0.4110	 best_mIOU_per_class(val) = [[np.float64(0.8649334115240689), np.float64(0.6517338820624282), np.float64(0.11782390555828824), np.float64(0.0), np.float64(0.10182706739753741), np.float64(0.8510222728139674), np.float64(0.47401585202029684), np.float64(0.7449791498401407), np.float64(0.5292365528451886), np.float64(0.10792115030880518), np.float64(0.07764607797641988)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 142	Train Loss = 1.3554	 mIOU(val) = 0.4202	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 143	Train Loss = 1.3620	 mIOU(val) = 0.4020	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 144	Train Loss = 1.3736	 mIOU(val) = 0.4113	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 145	Train Loss = 1.3628	 mIOU(val) = 0.4084	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 146	Train Loss = 1.3669	 mIOU(val) = 0.4057	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 147	Train Loss = 1.3661	 mIOU(val) = 0.4093	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 148	Train Loss = 1.3689	 mIOU(val) = 0.4063	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 149	Train Loss = 1.3637	 mIOU(val) = 0.3970	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000311 

Epoch No.: 150	Train Loss = 1.3648	 mIOU(val) = 0.4066	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 151	Train Loss = 1.3624	 mIOU(val) = 0.3978	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 152	Train Loss = 1.3660	 mIOU(val) = 0.4008	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 153	Train Loss = 1.3666	 mIOU(val) = 0.3968	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 154	Train Loss = 1.3624	 mIOU(val) = 0.4032	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 155	Train Loss = 1.3621	 mIOU(val) = 0.4117	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 156	Train Loss = 1.3645	 mIOU(val) = 0.4116	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 157	Train Loss = 1.3646	 mIOU(val) = 0.4057	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 158	Train Loss = 1.3622	 mIOU(val) = 0.4140	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 159	Train Loss = 1.3634	 mIOU(val) = 0.4040	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000286 

Epoch No.: 160	Train Loss = 1.3631	 mIOU(val) = 0.4142	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000263 

Epoch No.: 161	Train Loss = 1.3609	 mIOU(val) = 0.3997	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000263 

Epoch No.: 162	Train Loss = 1.3633	 mIOU(val) = 0.4092	 best_mIOU_val(val) = 0.4202	 best_mIOU_per_class(val) = [[np.float64(0.8704385479935375), np.float64(0.662547623319946), np.float64(0.10297830177243476), np.float64(0.0), np.float64(0.1241534245919686), np.float64(0.8763585222431184), np.float64(0.48462786345975645), np.float64(0.7509546697364607), np.float64(0.5310881021126737), np.float64(0.11562074399435265), np.float64(0.10340027838536488)]]	 best_acc(val) = 0.5093	 lr= 0.000263 

