Parameters: 405492 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 2.3669	 mIOU(val) = 0.0672	 best_mIOU_val(val) = 0.0672	 best_mIOU_per_class(val) = [[0.0001742123545814423, 0.0007093032459653094, 0.0, 0.0, 0.0, 0.47749144571499624, 0.0, 0.26114283586366793, 0.0, 0.0, 0.0]]	 best_acc(val) = 0.1361	 lr= 0.001000 
Epoch No.: 135	Train Loss = 1.3568	 mIOU(val) = 0.4184	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 136	Train Loss = 1.3631	 mIOU(val) = 0.3252	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 137	Train Loss = 1.3658	 mIOU(val) = 0.4116	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 138	Train Loss = 1.3556	 mIOU(val) = 0.3939	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 139	Train Loss = 1.3592	 mIOU(val) = 0.4105	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 140	Train Loss = 1.3531	 mIOU(val) = 0.4141	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000311 

Epoch No.: 141	Train Loss = 1.3479	 mIOU(val) = 0.4130	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000311 

Epoch No.: 142	Train Loss = 1.3521	 mIOU(val) = 0.4160	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000311 
